Timestamp,Object,Confidence,Bounding Box
2025-03-06 03:22:22.617729,person,0.92,"(8, 343, 1039, 1070)"
2025-03-06 03:22:22.678561,person,0.94,"(885, 9, 1919, 1069)"
2025-03-06 03:22:22.678748,person,0.92,"(7, 344, 1048, 1070)"
2025-03-06 03:22:22.747484,person,0.92,"(1, 343, 1053, 1069)"
2025-03-06 03:22:22.747913,person,0.92,"(890, 8, 1918, 1069)"
2025-03-06 03:22:22.817302,person,0.93,"(885, 7, 1919, 1067)"
2025-03-06 03:22:22.817574,person,0.93,"(2, 340, 1058, 1070)"
2025-03-06 03:22:22.876143,person,0.93,"(889, 7, 1918, 1066)"
2025-03-06 03:22:22.876447,person,0.91,"(11, 341, 1064, 1069)"
2025-03-06 03:22:22.943399,person,0.92,"(12, 341, 1060, 1070)"
2025-03-06 03:22:22.943612,person,0.91,"(887, 7, 1918, 1066)"
2025-03-06 03:22:23.045173,person,0.94,"(888, 8, 1918, 1067)"
2025-03-06 03:22:23.045430,person,0.93,"(8, 346, 1061, 1071)"
2025-03-06 03:22:23.112330,person,0.95,"(890, 7, 1919, 1070)"
2025-03-06 03:22:23.112677,person,0.92,"(9, 354, 1046, 1070)"
2025-03-06 03:22:23.177517,person,0.95,"(891, 9, 1915, 1068)"
2025-03-06 03:22:23.177741,person,0.86,"(0, 359, 1040, 1068)"
2025-03-06 03:22:23.248806,person,0.95,"(890, 9, 1916, 1067)"
2025-03-06 03:22:23.249061,person,0.85,"(0, 362, 1036, 1069)"
2025-03-06 03:22:23.314748,person,0.95,"(891, 9, 1916, 1066)"
2025-03-06 03:22:23.314959,person,0.90,"(7, 360, 1038, 1069)"
2025-03-06 03:22:23.379617,person,0.95,"(890, 8, 1918, 1069)"
2025-03-06 03:22:23.379816,person,0.88,"(0, 365, 1055, 1069)"
2025-03-06 03:22:23.447661,person,0.95,"(896, 10, 1918, 1071)"
2025-03-06 03:22:23.447948,person,0.87,"(0, 366, 1039, 1068)"
2025-03-06 03:22:23.516648,person,0.95,"(899, 9, 1916, 1073)"
2025-03-06 03:22:23.517078,person,0.88,"(1, 368, 1044, 1068)"
2025-03-06 03:22:23.571674,person,0.93,"(910, 9, 1917, 1070)"
